MLSNumber,Category,Status,Type,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,ZipCode,County,MLSArea,Township,SchoolDistrict,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,SellerConcessionsAmount,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,ModelName,AdditionalBankOwned,AdditionalThirdPartyApproval,AdditionalShortSale,BuyerBrokerCompensation,SubAgentCompensation,TransactionBrokerCompensation,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct 
VAPW506246,RES,Active,,1,1,10/01/2020,,,,"$484,900","$484,900",,15358,,Ballerina,,Woodbridge,VA,,PRINCEWILLIAMVA,,,,NONE AVAILABLE,Staci M Beach,83064,"Hylton Realty, Inc.",HYRI1,(703) 897-9900,,,,,,,,,,,505,2020,0.09,145,FeeSimple,No,No,Yes,Monthly,89,Monthly,2020,2815,Excellent,3,2,2,Three,Traditional,"Lower1,Main,Upper1",,Yes,2,,,,,Yes,No,Yes,,,,,2.5,,,BRIGHT,2815,0,Excellent,,
VAFX1159040,RES,Active,,1,1,10/01/2020,,,,"$799,900","$799,900",,15405,,Martins Hundred,,Centreville,VA,1199,FAIRFAXVA,,,,VIRGINIA RUN,Michael C Rush,13337,"Long & Foster Real Estate, Inc.",LNG85,(703) 968-7000,,,,,,,,,,,7413,2020,0.32,132,FeeSimple,No,No,Yes,Monthly,75,Monthly,1991,4600,Excellent,4,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,Yes,MainFlrLndry,,,Yes,No,No,BELLE HAVEN,,,,2.5,,,BRIGHT,3202,1398,Excellent,,
VAFX1159058,RES,Active,,1,2,10/01/2020,,,,"$1,399,500","$1,399,500",,705,,Ridge,,Mclean,VA,1621,FAIRFAXVA,,,,LANGLEY OAKS,Michael J Anastasia,105042,"Long & Foster Real Estate, Inc.",LNG83,(703) 790-1990,,,,,,,,,,,15135,2020,0.46,132,FeeSimple,No,No,Yes,Annually,145,Annually,1979,3274,Good,6,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,Yes,MainFlrLndry,,13,Yes,No,No,,,,,2.5,,,BRIGHT,3274,0,Good,30,100
MDMC728372,RES,Active,,1,1,10/01/2020,,,,"$899,900","$899,900",,10008,E,Bexhill,,Kensington,MD,3203,MONTGOMERYMD,,,,ROCK CREEK HILLS,Paul E Biciocchi,1358,"Forum Properties, Inc.",FRM1,(301) 299-1199,,,,,,,,,,,9755,2019,0.27,011,FeeSimple,No,No,No,,,,1958,3645,,5,4,0,Five,SplitLevel,"Lower1,Lower2,Main,Upper1,Upper2,Upper3",,Yes,2,,BsmtLaundry,,,Yes,No,No,Classic Brick,,,,2.5,2.5,,BRIGHT,3078,567,,,
VAPW506102,RES,Active,,1,1,10/01/2020,,,,"$714,999","$714,999",,5423,,Dabneys Mill,,Haymarket,VA,4519,PRINCEWILLIAMVA,,,,DOMINION VALLEY COUNTRY CLUB,Amanda Jane Robinson,3295248,Keller Williams Realty/Lee Beaver & Assoc.,KWR3,(703) 330-2222,,,,,,,,,,,7036,2020,0.31,131,FeeSimple,No,No,Yes,Monthly,156,Monthly,2006,3441,,4,2,1,Three,Colonial,"Main,Upper1",,Yes,3,Yes,MainFlrLndry,,,Yes,No,No,Ellsworth,,,,2.5,,,BRIGHT,3441,0,,,
VAFX1158404,RES,Active,,1,1,10/01/2020,,,,"$1,099,000","$1,099,000",,2512,W,Meredith,,Vienna,VA,4043,FAIRFAXVA,,,,LAKEVALE ESTATES,Beth C Anspach,3020426,"Pearson Smith Realty, LLC",PSTH3,(571) 386-1075,,,,,,,,,,,9834,2020,0.34,132,FeeSimple,No,No,Yes,Annually,1150,Annually,1967,3828,,6,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,Yes,,,,Yes,No,No,,,,,2.5,,,BRIGHT,3268,560,,,
MDMC727648,RES,Active,,1,1,10/01/2020,,,,"$739,900","$739,900",,718,,Smallwood,,Rockville,MD,2144,MONTGOMERYMD,,,,WOODLEY GARDENS,Megan Meekin,3108256,Compass,COMPS2,(301) 298-1001,,,,,,,,,,,8493,2019,0.23,011,FeeSimple,No,No,No,,,,1967,3117,,5,2,1,Two,Colonial,"Lower1,Main,Upper1",,Yes,1,,LowFlrLndry,,,Yes,No,No,,,,,2.75,2.75,,BRIGHT,2285,832,,,
MDPG583222,RES,Active,,1,1,10/01/2020,,,,"$275,000","$275,000",,4617,,Henderson,,Temple Hills,MD,3619,PRINCEGEORGESMD,,,,TEMPLE HILLS,Eric P Stewart,5496,"Long & Foster Real Estate, Inc.",LNG302,(301) 424-0900,,,,,,,,,,,3833,2019,0.46,011,FeeSimple,No,No,No,,,,1954,1371,,3,2,,Two,RaisedRanch,"Lower1,Main",,Yes,1,Yes,BsmtLaundry,,,No,No,No,,,,,2.5,2.5,,BRIGHT,1371,0,,,
VAMN140582,RES,Active,,1,1,10/01/2020,,,,"$260,000","$260,000",,8315,,Georgian,,Manassas,VA,4560,MANASSASCITYVA,,,,GEORGIAN HAMLET,Lynn M O'Neill,151698,RE/MAX Gateway,RMAX151,(703) 754-1770,,,,,,,,,,,3077,2020,,103,Condominium,No,Yes,No,,,,1985,1116,,3,2,0,Two,Other,"Main,Upper1",,No,,,"HasLaundry,MainFlrLndry",,,Yes,No,No,,,,,3,,,BRIGHT,1116,0,,,
MDPG583224,RES,Active,,1,1,10/01/2020,,,,"$295,000","$295,000",,9668,,Gwynndale,,Clinton,MD,3526,PRINCEGEORGESMD,,,,NONE AVAILABLE,Quantane L Higginbotham,154619,Exit Landmark Realty,ELMR1,(301) 934-2022,,,,,,,,,,,4023,2019,0.25,011,FeeSimple,No,No,No,,,,1965,1500,Average,3,1,,Two,Rancher,Main,,Yes,,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1500,0,Average,,
