,MLSNumber,DOM,List Price,City,Age,CompAvgAge,InteriorSqFt,CompAvgSqFt,Bedrooms,BathsFull,BathsHalf,NumComps,hoaTotalFee,MonthlyMortgage,TaxMonthlyTotal,TotalMonthlyCosts,CompAvgRentRevenue,MonthlyProfit,CapRate
4,VAPW506102,1,714999.0,Haymarket,2006,2005.857142857143,3441,3640.285714285714,4,2,1.0,7.0,156.0,2830.74,586.3333333333334,3598.0733333333333,3175.714285714286,-422.3590476190475,-5.068308571428569
16,VAPW505858,1,499900.0,Gainesville,2001,,2305,,2,2,0.0,0.0,310.0,1840.67,431.5833333333333,2607.2533333333336,,,
21,VAAX251738,1,439000.0,Alexandria,2007,2004.5,1096,1210.0,2,2,0.0,6.0,522.47,1560.36,349.6666666666667,2457.4966666666664,2408.3333333333335,-49.16333333333296,-0.5899599999999955
27,VAFX1159034,1,514900.0,Alexandria,2005,,1830,,3,3,1.0,0.0,140.0,1909.71,410.9166666666667,2485.6266666666666,,,
35,VALO422792,1,465000.0,Leesburg,2007,2009.625,2280,2371.5,4,2,1.0,8.0,125.0,1680.03,424.75,2254.7799999999997,2550.0,295.22000000000025,3.542640000000003
43,VALO422684,1,420000.0,Leesburg,2000,1998.6666666666667,1678,1762.0,3,3,1.0,6.0,114.0,1472.91,361.1666666666667,1973.0766666666668,2025.0,51.923333333333176,0.6230799999999981
53,VAFX1158302,1,619950.0,Chantilly,2021,,2456,,3,2,1.0,0.0,224.0,2393.24,0.0,2642.24,,,
56,VAAX251714,1,860000.0,Alexandria,2000,2000.6,3122,2823.0,4,3,1.0,5.0,100.0,3498.15,751.0833333333334,4374.233333333334,3769.0,-605.2333333333336,-7.262800000000002
68,VAFX1158986,1,325000.0,Vienna,2000,2000.0,902,876.75,1,1,0.0,4.0,309.0,1035.64,233.66666666666666,1603.3066666666668,1687.5,84.19333333333316,1.0103199999999979
73,VAFX1157330,1,377500.0,Alexandria,2012,2012.0,1155,1219.0,2,2,0.0,2.0,633.0,1277.29,340.0833333333333,2275.3733333333334,2225.0,-50.37333333333345,-0.6044800000000015
81,VAFX1158984,1,529990.0,Herndon,2021,,1495,,2,2,0.0,0.0,280.0,1979.17,508.3333333333333,2792.5033333333336,,,
83,VAFX1158852,1,300000.0,Alexandria,1996,1997.8333333333333,1100,1132.6666666666667,2,2,0.0,6.0,315.0,920.57,228.0,1488.5700000000002,1745.8333333333333,257.2633333333331,3.0871599999999972
84,VAAR170328,1,579900.0,Arlington,1940,1941.7777777777778,1500,1461.111111111111,2,2,0.0,9.0,418.0,2208.90,421.9166666666667,3073.8166666666666,2350.0,-723.8166666666666,-8.685799999999999
85,VAFX1158974,1,489990.0,Herndon,2021,,1451,,2,2,0.0,0.0,280.0,1795.06,469.5833333333333,2569.6433333333334,,,
88,VAFX1158972,1,449990.0,Herndon,2020,,1275,,2,2,0.0,0.0,280.0,1610.94,431.25,2347.19,,,
90,VAFX1158964,1,524990.0,Herndon,2020,,1469,,2,2,0.0,0.0,280.0,1956.16,503.3333333333333,2764.4933333333333,,,
95,VAAR170586,1,624900.0,Arlington,1996,,890,,2,1,0.0,0.0,475.0,2416.03,445.75,3361.78,,,
97,VAFX1158958,1,574990.0,Herndon,2020,,1658,,2,2,0.0,0.0,280.0,2186.30,551.6666666666666,3042.9666666666667,,,
102,VAFX1158738,1,570000.0,Vienna,1989,,1452,,3,2,1.0,0.0,344.0,2163.33,546.0,3078.33,,,
103,VAFX1158948,1,504990.0,Herndon,2021,,1515,,2,2,0.0,0.0,180.0,1864.10,484.1666666666667,2553.2666666666664,,,
